0,0,APR 27,KOODO MOBILE PAC EDMONTON AB,46.20
1,2,APR 27,TELUS MOBILITY PREAUTH CALGARY AB,135.80
2,4,APR 27,88 SUPERMARKET VANCOUVER BC,3.90
3,6,APR 27,CENTENNIAL TOWN PANTRY BURNABY BC,20.00
4,8,APR 27,SAL Y LIMON MEXICAN CUISIVANCOUVER BC,16.48
5,10,APR 30,PAYMENT - THANK YOU / PAIEMENT - MERCI,-501.08
6,12,APR 30,PETROCAN-7890 CANADA WAY BURNABY BC,50.64
7,14,MAY 01,WAL-MART SUPERCENTER#1205SURREY BC,48.43
8,16,MAY 02,GREEN TIMBERS LIQUOR S SURREY BC,10.20
9,18,MAY 03,H-MART COQUITLAM BC,9.77
10,20,MAY 04,SPOTIFY P0AB5A0E57 STOCKHOLM,4.99
11,22,MAY 04,SUPER SAVE GAS #11 MERRITT BC,48.78
12,24,MAY 04,CACTUS CLUB KELOWNA YA KELOWNA BC,67.94
13,26,MAY 05,TIM HORTONS #7552 KELOWNA BC,2.09
14,28,MAY 05,PETROCAN-1090 WESTMINSTERPENTICTON BC,28.08
15,30,MAY 05,PETROCAN-1969 WILLINGDON BURNABY BC,36.37
0,3,MAY 05 MAY 06,CRAFT BEER MARKET - KELOWKELOWNA BC,28.78
1,6,MAY 09 MAY 10,DANA - SIERRA WIRELESS RICHMOND BC,2.00
2,9,MAY 11 MAY 13,PERVERTD ICE CREAM VANCOUVER BC,6.30
3,12,MAY 11 MAY 13,SHAW CABLESYSTEMS CALGARY AB,7.45
4,14,MAY 12 MAY 14,PETROCAN-5111 GRT MCCHONARICHMOND BC,1.09
5,16,MAY 12 MAY 13,YVR PARKING RICHMOND BC,9.50
6,20,MAY 13 MAY 14,PETROCAN-6502 VICTORIA DRVANCOUVER BC,37.45
7,23,MAY 14 MAY 15,DANA - SIERRA WIRELESS RICHMOND BC,7.00
8,26,MAY 14 MAY 14,"ATOM TICKETS, LLC 3106272866 CA",12.99
9,28,MAY 15 MAY 21,REVENUE SERVICES BC VICTORIA BC,23.00
10,30,MAY 15 MAY 16,TOKYO JOE'S SUSHI FACTORYRICHMOND BC,10.71
11,32,MAY 15 MAY 16,MCDONALD'S #21433 NEW WESTMINSTBC,6.18
12,34,MAY 17 MAY 21,DANA - SIERRA WIRELESS RICHMOND BC,1.05
13,36,MAY 17 MAY 21,THE KEG DUNSMUIR VANCOUVER BC,55.05
14,38,MAY 17 MAY 17,PAYMENT - THANK YOU / PAIEMENT - MERCI,-659.12
15,40,MAY 18 MAY 21,XPRESS DONAIR HOUSE COQUITLAM BC,13.03
16,42,MAY 19 MAY 21,COQUITLAM CHEERS CHICKEN COQUITLAM BC,44.59
17,44,MAY 19 MAY 21,DENNY'S 03-089 COQUITL COQUITLAM BC,139.31
18,46,MAY 20 MAY 21,COQUITLAM CHEERS CHICKEN COQUITLAM BC,14.48
0,0,MAR 27,OFFER PETRO-CANADA,-5.00
1,3,MAR 28,TELUS MOBILITY PREAUTH CALGARY AB,164.10
2,7,MAR 29,KOODO MOBILE PAC EDMONTON AB,46.20
3,11,MAR 30,SAFEWAY #4911 BURNABY BC,1.69
4,14,MAR 30,SUSHI UOMO BURNABY BC,14.52
5,18,MAR 30,QUEENS PARK TOWN PANTRY PNEW WESTMINSTBC,20.00
6,22,MAR 31,PHO MR. DO VIETNAMESE RESBURNABY BC,5.20
7,26,MAR 31,CENTENNIAL TOWN PANTRY PABURNABY BC,50.00
8,30,APR 02,"ATOM TICKETS, LLC 3106272866 CA",17.00
9,33,APR 02,RENAISSANCE COFFEE BURNABY BC,2.15
10,37,APR 02,QUESADA BURRITOS AND TACOBURNABY BC,8.07
11,41,APR 04,SPOTIFY P0A3F48122 STOCKHOLM,4.99
12,45,APR 04,SUSHI CALIFORNIA COQUITLAM BC,12.65
13,47,APR 06,PHO MR. DO VIETNAMESE RESBURNABY BC,7.00
0,0,APR 11,SHAW CABLESYSTEMS CALGARY AB,103.04
1,2,APR 12,SUSHI CALIFORNIA COQUITLAM BC,15.34
2,4,APR 13,CHAD THAI BURNABY BC,13.27
3,6,APR 13,BLOSSOM TEAS BURNABY BC,4.94
4,8,APR 13,PETROCAN-7890 CANADA WAY BURNABY BC,50.50
5,10,APR 14,MCDONALD'S #29716 Q04 BURNABY BC,1.77
6,12,APR 15,MCDONALD'S #1449 MYMCDS COQUITLAM BC,2.93
7,14,APR 15,MCDONALD'S #1449 Q04 COQUITLAM BC,1.05
8,16,APR 16,REVENUE SERVICES BC VICTORIA BC,23.00
9,18,APR 17,SFU J DOUGLAS # 87275004 BURNABY BC,9.23
10,20,APR 19,TAQUERIA PLAYA TROPICAL NEW WESTMINSTBC,15.75
11,22,APR 20,MCDONALD'S #29002 Q04 N. VANCOUVER BC,2.10
12,24,APR 20,SHELL 4191 NORTH RD BURNABY BC,16.03
13,26,APR 20,SHELL 1580 HWY 99. SQUAMISH BC,42.60
14,28,APR 21,PLUS KARAOKE COQUITLAM BC,12.00
15,30,APR 23,WOODS SPORTS PUB COQUITLAM BC,14.56
16,32,APR 23,MCDONALD'S #14908 BURNABY BC,1.05
0,0,MAR 11,SHAW CABLESYSTEMS CALGARY AB,44.81
1,2,MAR 11,BLOSSOM TEAS BURNABY BC,4.85
2,4,MAR 11,INLET TOWN PANTRY PAP BURNABY BC,20.00
3,6,MAR 11,MCDONALD'S #29716 Q04 BURNABY BC,6.81
4,8,MAR 11,MCDONALD'S #12135 Q04 COQUITLAM BC,1.88
5,10,MAR 13,PHO MR. DO VIETNAMESE RESBURNABY BC,10.40
6,12,MAR 13,PAYMENT - THANK YOU / PAIEMENT - MERCI,-331.01
7,14,MAR 15,REVENUE SERVICES BC VICTORIA BC,23.00
8,16,MAR 15,PETROCAN-8014 KING GEORGESURREY BC,48.31
9,18,MAR 18,PIZZA HUT #31154 BURNABY BC,13.52
10,20,MAR 20,AMAZON.CA*MW3JB8AC0 AMAZON.CA ON,16.12
11,22,MAR 21,AMAZON.CA*MW50K21M1 AMAZON.CA ON,17.07
12,24,MAR 22,YAGUCHIYA RAMEN BURNABY BC,15.40
13,26,MAR 23,MCDONALD'S #29002 Q04 N. VANCOUVER BC,4.50
14,28,MAR 24,HANGANG KOREAN RESTAUR COQUITLAM BC,19.84
15,30,MAR 25,SAPPERTON TOWN PANTRY PAPNEW WESTMINSTBC,20.00
16,32,MAR 26,BBONG KOREAN RESTAURAN COQUITLAM BC,21.17
